release_id,price,status,condition,sleeve_condition,notes,genre_override,decade_override
8321428,,available,Not yet inspected,,,,
4729114,,available,Not yet inspected,,,,
5567326,,available,Not yet inspected,,,,
1528310,,available,Not yet inspected,,,,
2111047,,available,Not yet inspected,,,,
29174857,,available,Not yet inspected,,,,
2072153,,available,Not yet inspected,,,,
3028959,,available,Not yet inspected,,,,
8256713,,available,Not yet inspected,,,,
6507892,,available,Not yet inspected,,,,
20509414,,available,Not yet inspected,,,,
22466197,,available,Not yet inspected,,,,
3109497,,available,Not yet inspected,,,,
7374964,,available,Not yet inspected,,,,
1728183,,available,Not yet inspected,,,,
1056046,,available,Not yet inspected,,,,
1602156,,available,Not yet inspected,,,,
2885428,,available,Not yet inspected,,,,
3361289,,available,Not yet inspected,,,,
16432287,,available,Not yet inspected,,,,
1837525,,available,Not yet inspected,,,,
3355741,,available,Not yet inspected,,,,
3574362,,available,Not yet inspected,,,,
3302211,,available,Not yet inspected,,,,
1458499,,available,Not yet inspected,,,,
2573234,,available,Not yet inspected,,,,
2043796,,available,Not yet inspected,,,,
2789942,,available,Not yet inspected,,,,
1561070,,available,Not yet inspected,,,,
2663322,,available,Not yet inspected,,,,
1594738,,available,Not yet inspected,,,,
3087835,,available,Not yet inspected,,,,
2838373,,available,Not yet inspected,,,,
2435448,,available,Not yet inspected,,,,
2803873,,available,Not yet inspected,,,,
3678651,,available,Not yet inspected,,,,
15452068,,available,Not yet inspected,,,,
2088829,,available,Not yet inspected,,,,
11137129,,available,Not yet inspected,,,,
1602114,,available,Not yet inspected,,,,
10132139,,available,Not yet inspected,,,,
2402355,,available,Not yet inspected,,,,
5322865,,available,Not yet inspected,,,,
3422730,,available,Not yet inspected,,,,
3168586,,available,Not yet inspected,,,,
5992606,,available,Not yet inspected,,,,
5168323,,available,Not yet inspected,,,,
2976157,,available,Not yet inspected,,,,
1178232,,available,Not yet inspected,,,,
4413305,,available,Not yet inspected,,,,
1104472,,available,Not yet inspected,,,,
1104491,,available,Not yet inspected,,,,
8537197,,available,Not yet inspected,,,,
4324769,,available,Not yet inspected,,,,
2032518,,available,Not yet inspected,,,,
4536016,,available,Not yet inspected,,,,
27879489,,available,Not yet inspected,,,,
